,总价,建筑面积,室,厅,卫,y_pred
0,89.0,89.0,2.0,2.0,1.0,84.54497210523554
1,99.8,143.0,3.0,2.0,1.0,143.36026172028707
2,32.0,43.3,1.0,1.0,1.0,32.32217560964682
3,51.5,57.0,2.0,1.0,1.0,50.448909977408164
4,210.0,160.8,3.0,2.0,2.0,178.26622367561836
5,118.0,200.0,3.0,1.0,1.0,199.12229927009804
6,84.0,75.06,2.0,1.0,1.0,68.68303672098288
7,96.0,90.0,2.0,2.0,1.0,85.55461367464721
8,107.0,99.44,3.0,2.0,1.0,99.38027495671486
9,205.0,156.0,3.0,2.0,2.0,173.41994414244238
10,105.0,92.7,3.0,2.0,1.0,92.57529077888023
11,198.0,142.1,4.0,2.0,2.0,163.6805711944417
12,65.0,62.93,2.0,1.0,1.0,56.436084484019354
13,56.0,70.1,2.0,1.0,1.0,63.67521453670101
14,85.0,89.0,2.0,1.0,1.0,82.75744019858152
15,285.0,169.2,4.0,3.0,3.0,209.76373165195554
16,115.0,86.1,2.0,2.0,1.0,81.61701155394171
17,97.0,104.0,3.0,1.0,1.0,102.19670860657803
18,205.0,167.0,3.0,2.0,2.0,184.5260014059707
19,290.0,280.0,4.0,2.0,3.0,319.8444856361142
20,400.0,209.0,2.0,2.0,2.0,222.63630245443917
21,120.0,91.0,2.0,2.0,1.0,86.56425524405888
22,115.0,128.63,2.0,2.0,1.0,124.5570675010199
23,119.0,130.45,3.0,2.0,2.0,147.62360204397427
24,148.0,121.67,3.0,2.0,1.0,121.82460704473621
25,89.9,93.0,2.0,2.0,1.0,88.58353838288221
26,37.0,50.0,1.0,1.0,1.0,39.086774124705
27,125.0,130.0,3.0,2.0,2.0,147.16926333773904
28,105.0,148.0,3.0,2.0,2.0,165.34281158714904
29,95.8,89.5,2.0,2.0,1.0,85.04979288994139
30,128.0,101.0,2.0,2.0,1.0,96.66067093817554
31,125.0,139.34,3.0,2.0,2.0,156.599315596044
32,70.0,82.0,2.0,2.0,1.0,77.47748111935388
33,81.0,84.0,2.0,1.0,1.0,77.70923235152318
34,85.0,109.0,2.0,1.0,1.0,102.95027158681485
35,95.0,108.0,2.0,2.0,1.0,103.72816192405722
36,41.0,62.0,2.0,2.0,1.0,57.28464973112055
37,110.0,86.0,2.0,2.0,1.0,81.51604739700055
38,78.0,65.1,2.0,1.0,1.0,58.62700668964266
39,90.0,95.0,2.0,1.0,1.0,88.81528961505151
40,46.0,55.0,2.0,1.0,1.0,48.42962683858484
41,51.0,55.0,1.0,1.0,1.0,44.13498197176333
42,110.0,130.7,2.0,2.0,2.0,143.5813675695057
43,107.0,89.5,2.0,2.0,1.0,85.04979288994139
44,140.0,90.0,2.0,2.0,1.0,85.55461367464721
45,160.0,136.1,3.0,2.0,2.0,153.32807691115022
46,680.0,260.0,4.0,3.0,3.0,301.43918615453487
47,41.0,50.5,2.0,1.0,1.0,43.886239776232344
48,126.0,126.0,3.0,2.0,2.0,143.13069706009236
49,103.0,108.0,2.0,2.0,1.0,103.72816192405722
50,100.0,108.0,2.0,2.0,1.0,103.72816192405722
51,107.0,88.38,2.0,2.0,1.0,83.91899433220031
52,76.0,76.28,2.0,2.0,1.0,71.70233134231914
53,45.0,41.0,1.0,1.0,1.0,30.0
54,89.0,106.0,3.0,2.0,1.0,106.00352365205539
55,65.0,58.1,1.0,1.0,1.0,47.2648708369395
56,36.4,52.0,1.0,1.0,1.0,41.10605726352833
57,170.0,220.0,3.0,2.0,2.0,238.03700458478903
58,109.0,83.8,2.0,2.0,1.0,79.29483594429487
59,61.0,59.0,1.0,1.0,1.0,48.17354824940999
60,125.0,103.0,2.0,2.0,1.0,98.67995407699888
61,67.0,74.94,2.0,1.0,1.0,68.56187973265347
62,103.0,84.0,2.0,2.0,1.0,79.49676425817721
63,72.0,75.11,2.0,2.0,1.0,70.52105070610749
64,48.0,60.0,2.0,1.0,1.0,53.47783468564318
65,75.0,95.11,3.0,2.0,1.0,95.00852696116235
66,56.0,75.0,2.0,2.0,1.0,70.4099901334722
67,76.8,87.0,2.0,2.0,1.0,82.52568896641222
68,63.0,85.0,2.0,2.0,1.0,80.50640582758888
69,59.8,65.0,2.0,1.0,1.0,58.5260425327015
70,75.0,105.0,2.0,2.0,1.0,100.69923721582221
71,230.0,188.0,2.0,2.0,1.0,184.49948747699054
72,130.0,150.0,3.0,2.0,2.0,167.36209472597236
73,56.0,56.0,1.0,1.0,1.0,45.14462354117499
74,29.5,37.58,1.0,1.0,1.0,26.547025832612093
75,160.0,120.99,3.0,2.0,2.0,138.07239279733992
76,82.0,90.0,2.0,2.0,1.0,85.55461367464721
77,102.0,94.6,2.0,2.0,1.0,90.19896489394088
78,39.8,56.17,2.0,1.0,1.0,49.61090747479649
79,75.0,86.81,2.0,2.0,1.0,82.333857068224
